name,alg,sol,time,opt_sol,diff,71/60opt,71/60diff
N3C1W4_M,GA,177,25,149,28,176,-1
N3C1W4_N,GA,170,24,148,22,175,5
N3C1W4_O,GA,169,24,143,26,169,0
N3C1W4_P,GA,170,30,143,27,169,-1
N3C1W4_Q,GA,174,30,146,28,173,-1
N3C1W4_R,GA,171,31,145,26,172,1
N3C1W4_S,GA,173,31,145,28,172,-1
N3C1W4_T,GA,173,31,146,27,173,0
N3C2W1_A,GA,116,22,91,25,108,-8
N3C2W1_B,GA,109,18,82,27,97,-12
N3C2W1_C,GA,110,21,84,26,99,-11
N3C2W1_D,GA,113,21,85,28,101,-12
N3C2W1_E,GA,114,21,87,27,103,-11
N3C2W1_F,GA,118,21,88,30,104,-14
N3C2W1_G,GA,116,17,87,29,103,-13
N3C2W1_H,GA,116,21,87,29,103,-13
N3C2W1_I,GA,116,19,87,29,103,-13
N3C2W1_J,GA,114,19,87,27,103,-11
N3C2W1_K,GA,100,15,77,23,91,-9
N3C2W1_L,GA,122,17,91,31,108,-14
N3C2W1_M,GA,109,16,85,24,101,-8
N3C2W1_N,GA,116,16,91,25,108,-8
N3C2W1_O,GA,112,20,82,30,97,-15
N3C2W1_P,GA,120,21,88,32,104,-16
N3C2W1_Q,GA,109,20,82,27,97,-12
N3C2W1_R,GA,107,21,82,25,97,-10
N3C2W1_S,GA,116,21,89,27,105,-11
N3C2W1_T,GA,105,22,83,22,98,-7
N3C2W2_A,GA,143,25,107,36,127,-16
N3C2W2_B,GA,133,28,105,28,124,-9
N3C2W2_C,GA,135,26,104,31,123,-12
N3C2W2_D,GA,137,22,107,30,127,-10
N3C2W2_E,GA,144,28,116,28,137,-7
N3C2W2_F,GA,142,24,106,36,125,-17
N3C2W2_G,GA,137,27,102,35,121,-16
N3C2W2_H,GA,146,24,117,29,138,-8
N3C2W2_I,GA,129,27,102,27,121,-8
N3C2W2_J,GA,133,27,107,26,127,-6
N3C2W2_K,GA,143,24,110,33,130,-13
N3C2W2_L,GA,139,28,105,34,124,-15
N3C2W2_M,GA,140,28,108,32,128,-12
N3C2W2_N,GA,136,24,105,31,124,-12
N3C2W2_O,GA,139,24,107,32,127,-12
N3C2W2_P,GA,139,24,107,32,127,-12
N3C2W2_Q,GA,137,24,105,32,124,-13
N3C2W2_R,GA,143,26,110,33,130,-13
N3C2W2_S,GA,139,27,107,32,127,-12
N3C2W2_T,GA,137,27,107,30,127,-10
N3C2W4_A,GA,143,24,113,30,134,-9
